Starting... 
2024-07-23 20:12:33.699380: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/log_2024_7_23_20_12_33.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:12:33.887018: Inference on case ABD_005.nii.gz 
2024-07-23 20:13:18.235637:  Organ 13 IOU: 0.5294679085433838 
2024-07-23 20:13:18.235682:  Organ 13 precision: 0.8348382248501196 
2024-07-23 20:13:18.235724:  Organ 13 recall: 0.5914179115367326 
2024-07-23 20:13:18.236014: Mean Organ Dice: 0.8316043019294739 
2024-07-23 20:13:18.236095: Mean Organ mean_HD: 4.305210521884829 
2024-07-23 20:13:18.236150: Mean Organ mean_IOU: 0.7283151727993806 
2024-07-23 20:13:18.236201: Mean Organ mean_precision: 0.8993246680367062 
2024-07-23 20:13:18.236249: Mean Organ mean_recall: 0.784493379406159 
2024-07-23 20:13:18.344411: Inference on case ABD_031.nii.gz 
2024-07-23 20:13:21.575017:  Organ 1 Dice: 0.9464436769485474 
2024-07-23 20:13:21.575227:  Organ 1 HD: 16.673332000533065 
2024-07-23 20:13:21.575280:  Organ 1 IOU: 0.8983322752259018 
2024-07-23 20:13:21.575326:  Organ 1 precision: 0.9077138501715689 
2024-07-23 20:13:21.575369:  Organ 1 recall: 0.9886257775649379 
2024-07-23 20:13:22.594352:  Organ 2 Dice: 0.9633774161338806 
2024-07-23 20:13:22.594551:  Organ 2 HD: 1.0 
2024-07-23 20:13:22.594604:  Organ 2 IOU: 0.9293424684629655 
