Starting... 
2024-07-23 20:23:00.066562: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018/log_2024_7_23_20_23_00.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:23:00.252545: Inference on case ABD_005.nii.gz 
2024-07-23 20:24:37.735090:  Organ 6 precision: 0.9721251691427749 
2024-07-23 20:24:37.735134:  Organ 6 recall: 0.9809296797738422 
2024-07-23 20:24:40.023135:  Organ 7 Dice: 0.9452182054519653 
2024-07-23 20:24:40.023335:  Organ 7 HD: 2.23606797749979 
2024-07-23 20:24:40.023387:  Organ 7 IOU: 0.8961267739066345 
2024-07-23 20:24:40.023432:  Organ 7 precision: 0.9552282804479503 
2024-07-23 20:24:40.023474:  Organ 7 recall: 0.9354157522002453 
2024-07-23 20:24:42.341730:  Organ 8 Dice: 0.9181861281394958 
2024-07-23 20:24:42.341929:  Organ 8 HD: 2.23606797749979 
2024-07-23 20:24:42.341982:  Organ 8 IOU: 0.8487468621948511 
2024-07-23 20:24:42.342027:  Organ 8 precision: 0.8933234545959511 
2024-07-23 20:24:42.342071:  Organ 8 recall: 0.9444723618172521 
