Starting... 
2023-12-04 12:51:58.778794: Namespace(data_dir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', logfile='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018//log_2023_12_4_12_51_58.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/output_nii', organs_file='organs14.key', out_channels=14) 
2023-12-04 12:51:59.245007: Inference on case ABD_005.nii.gz 
2023-12-04 12:53:06.664240:  Organ 8 Dice: 0.8122109770774841 
2023-12-04 12:53:06.664428:  Organ 8 HD: 8.774964387392123 
2023-12-04 12:53:06.664487:  Organ 8 IOU: 0.6838006821364531 
2023-12-04 12:53:06.664531:  Organ 8 precision: 0.9962183946129463 
2023-12-04 12:53:06.664573:  Organ 8 recall: 0.6855802291500143 
2023-12-04 12:53:07.765543:  Organ 9 Dice: 0.8169247508049011 
2023-12-04 12:53:07.765727:  Organ 9 HD: 4.318208553793146 
2023-12-04 12:53:07.765778:  Organ 9 IOU: 0.690509538833492 
2023-12-04 12:53:07.765821:  Organ 9 precision: 0.9704065702944388 
2023-12-04 12:53:07.765864:  Organ 9 recall: 0.7053628694791645 
2023-12-04 12:53:08.923582:  Organ 10 Dice: 0.681151807308197 
2023-12-04 12:53:08.923771:  Organ 10 HD: 4.58257569495584 
2023-12-04 12:53:08.923821:  Organ 10 IOU: 0.5164747465987488 
2023-12-04 12:53:08.923864:  Organ 10 precision: 0.8633504861222122 
2023-12-04 12:53:08.923905:  Organ 10 recall: 0.5624534395564604 
2023-12-04 12:53:10.043019:  Organ 11 Dice: 0.7298137545585632 
2023-12-04 12:53:10.043206:  Organ 11 HD: 5.0990195135927845 
2023-12-04 12:53:10.043256:  Organ 11 IOU: 0.5745722588037845 
2023-12-04 12:53:10.043299:  Organ 11 precision: 0.9080782313315994 
2023-12-04 12:53:10.043341:  Organ 11 recall: 0.610054270319893 
2023-12-04 12:53:11.112502:  Organ 12 Dice: 0.6048210263252258 
2023-12-04 12:53:11.112682:  Organ 12 HD: 11.224972160321824 
2023-12-04 12:53:11.112732:  Organ 12 IOU: 0.4335078563690688 
2023-12-04 12:53:11.112775:  Organ 12 precision: 0.6101694943981614 
2023-12-04 12:53:11.112816:  Organ 12 recall: 0.5995655351226247 
2023-12-04 12:53:12.181321:  Organ 13 Dice: 0.7506119012832642 
2023-12-04 12:53:12.181512:  Organ 13 HD: 2.8284271247461903 
2023-12-04 12:53:12.181812:  Organ 13 IOU: 0.6007836325608026 
2023-12-04 12:53:12.181859:  Organ 13 precision: 0.8534322829101281 
2023-12-04 12:53:12.181901:  Organ 13 recall: 0.6699029142237721 
2023-12-04 12:53:12.182193: Mean Organ Dice: 0.8017746806144714 
2023-12-04 12:53:12.182269: Mean Organ mean_HD: 7.462607900994134 
2023-12-04 12:53:12.182323: Mean Organ mean_IOU: 0.6807595224249497 
2023-12-04 12:53:12.182372: Mean Organ mean_precision: 0.9115587652414991 
2023-12-04 12:53:12.182419: Mean Organ mean_recall: 0.7210776789970882 
2023-12-04 12:53:12.437194: Inference on case ABD_036.nii.gz 
